citation,status,confidence,cl_url,matched_name,diagnostics_cat,diagnostics_msg,syllabus
"In re Ultra Petroleum Corp., 624 B.R. 178 (2020)",NOT_FOUND,0.00,,,info,Quick search only: not in citation lookup API,
"In re AMR Corp., 730 F.3d 88 (2013)",VERIFIED,1.00,https://www.courtlistener.com/opinion/1040539/us-bank-trust-national-assn-v-amr-corp/,U.S. Bank Trust National Ass'n v. AMR Corp.,,,
"Matter of MPM Silicones, L.L.C., 874 F.3d 787 (2017)",POSSIBLE_MATCH,0.30,https://www.courtlistener.com/opinion/8443579/momentive-performance-materials-inc-v-bokf-na/,"Momentive Performance Materials Inc. v. BOKF, NA",name,"Name mismatch: citation exists at this reporter location but belongs to ""Momentive Performance Materials Inc. v. BOKF, NA""",
"In re Chemtura Corp., 439 B.R. 561 (2010)",VERIFIED,1.00,https://www.courtlistener.com/opinion/2188811/in-re-chemtura-corp/,In Re Chemtura Corp.,,,
"In re 1141 Realty Owner LLC, 598 B.R. 534 (2019)",VERIFIED,1.00,https://www.courtlistener.com/opinion/8529557/in-re-1141-realty-owner-llc/,In re 1141 Realty Owner LLC,,,
"In re Ultra Petroleum Corp., 624 B.R. 178 (2020)",POSSIBLE_MATCH,0.75,https://www.courtlistener.com/docket/17166210/878/ultra-petroleum-corp/,Ultra Petroleum Corp.,recap; info; name; cite,"Found in RECAP (not in opinions database). Document dated 2020-12-30: Entry (Adversary); Low confidence: court not available in citation text; Name differs: cited ""In re Ultra Petroleum Corp."" ~ found ""Ultra Petroleum Corp."" (82% similar); Reporter citation 624 B.R. 178 could not be confirmed (CourtListener has no reporter citations on file for this case), but we identified a possible match.",
