citation,status,confidence,cl_url,matched_name,matched_court,matched_court_id,diagnostics_cat,diagnostics_msg,syllabus
"Gladon v. Greater Cleveland Regional Transit Authority, 75 Ohio St. 3d 312 (1996)",VERIFIED,1.00,https://www.courtlistener.com/opinion/10686707/gladon-v-greater-cleveland-regional-transit-auth/,Gladon v. Greater Cleveland Regional Transit Auth.,Ohio Supreme Court,ohio,,,"Torts—Negligence—Passenger injured at rapid transit station—Duty of care owed passenger—Where entrant upon another's land exceeds scope of landowner's invitation, entrant loses status of an invitee and becomes either a licensee or trespasser."
"Bennett v. Stanley, 92 Ohio St. 3d 35 (2001)",VERIFIED,1.00,https://www.courtlistener.com/opinion/10685860/bennett-v-stanley/,Bennett v. Stanley,Ohio Supreme Court,ohio,,,"Torts—Negligence—Attractive nuisance—Unused residential swimming pool—Level of duty property owner owes to a child trespasser—Possessor of land subject to liability for physical harm to children trespassing thereon caused by an artificial condition upon the land, when—Adult who attempts to rescue a child from an attractive nuisance assumes the status of the child and is owed a duty of ordinary care by the property owner."
"Anderson v. Ceccardi, 6 Ohio St. 3d 110 (1983)",VERIFIED,1.00,https://www.courtlistener.com/opinion/6867324/anderson-v-ceccardi/,Anderson v. Ceccardi,Ohio Supreme Court,ohio,,,
"Marchetti v. Kalish, 53 Ohio St. 3d 95 (1990)",VERIFIED,1.00,https://www.courtlistener.com/opinion/6870596/marchetti-v-kalish/,Marchetti v. Kalish,Ohio Supreme Court,ohio,,,
